Year,Date,Pollster,PL,PN,AD,PD,Others,Lead
2017,02/06/17,Malta-Surveys,49,50.4,0.5,0,0.1,1.4
2017,01/06/17,Malta-Surveys,48.5,50.1,0.4,0,1,1.6
2017,31/05/17,Malta-Surveys,49.1,50.3,0.5,0,0.1,1.2
2017,30/05/17,Malta-Surveys,49.3,48.5,0.8,1.2,0.2,0.799999999999997
2017,29/05/17,Malta-Surveys,48,49.8,0.6,1.2,0.4,1.8
2017,28/05/17,Malta-Surveys,48,50.4,0.7,0.8,0,2.4
2017,27/05/17,Malta-Surveys,47.9,50.6,0.7,0.8,0,2.7
2017,22/05/17,MaltaToday,51.9,47.3,0.8,0,0,4.6
2017,21/05/17,Malta Independent,52.1,45.7,1.9,0,0.4,6.4
2017,15/05/17,MaltaToday,52,47,0.6,0,0.4,5
2017,14/05/17,Malta Independent,51.2,46.7,2.4,0,0.5,4.5
2017,12/05/17,Xarabank,50.6,48,1.4,0,0,2.6
2017,08/05/17,MaltaToday,51.9,47.5,0.4,0,0.2,4.4
2017,07/05/17,Malta Independent,53.1,46,0.6,0,0.4,7.1
2017,30/04/17,MaltaToday,51,46,1.1,1.1,0.7,5
2017,31/03/17,MaltaToday,51,45.1,1.6,1.2,1.2,5.9
2016,30/11/16,MaltaToday,49.2,43.9,3.2,2,1.5,5.3
2016,30/09/16,MaltaToday,48.7,44.5,3.3,2.3,1.2,4.2
2016,31/05/16,MaltaToday,47.7,46,3.4,2.3,0.6,1.7
2016,24/04/16,Malta Independent,47,42.2,4,6,1,4.8
2016,10/03/16,MaltaToday,49.7,48.4,1.9,0,0,1.3
2016,17/01/16,MaltaToday,51.4,47,1.5,0,0,4.4
2015,04/10/15,MaltaToday,51.9,45.3,2.7,0,0.1,6.6
2015,30/06/15,MaltaToday,52.6,44,2.9,0,0.5,8.6
2015,31/03/15,MaltaToday,54.7,41.9,3.4,0,0,12.8
2015,31/01/15,MaltaToday,56.1,40.5,3.1,0,0.4,14.8
2014,28/08/14,Malta-Surveys,46.9,47.2,4.8,0,1.1,0.3
2014,27/07/14,Malta-Surveys,48,46.8,4.3,0,0.9,1.2
2014,29/06/14,Malta-Surveys,47.1,47.1,4.9,0,0.9,0
2014,31/05/14,Malta-Surveys,46.9,47.2,5,0,0.9,0.3
2014,25/05/14,European elections,53.4,40,2.9,0,3.6,13.3
2014,30/04/14,Malta-Surveys,47.9,46.9,4.2,0,1,1
2014,31/03/14,Malta-Surveys,45.8,49.8,3.4,0,1,4
2014,28/02/14,Malta-Surveys,46.1,49,3.8,0,1.1,2.9
2014,31/01/14,Malta-Surveys,47.1,48.4,3.6,0,0.9,1.3
2013,31/12/13,Malta-Surveys,47,49,3,0,1,2
2013,30/11/13,Malta-Surveys,47.9,48,3.2,0,0.9,0.1
2013,30/10/13,Malta-Surveys,47.4,47.9,3.1,0,1.6,0.5
2013,30/09/13,Malta-Surveys,49.4,44.3,5.1,0,1.3,5.1
2013,31/08/13,Malta-Surveys,50,46,3,0,1,4
2013,31/07/13,Malta-Surveys,50,47,3,0,0,3
2013,29/06/13,Malta-Surveys,50,47,2,0,1,3
2013,31/05/13,Malta-Surveys,51,47,2,0,0,4
2013,30/04/13,Malta-Surveys,52,46,2,0,0,6
2013,09/03/13,General elections,54.8,43.3,1.8,0,0.3,11.5
